City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,guaraniacu,-25.1008,-52.8781,12.56,96,56,0.84,BR,1690878889
84,hofn,64.2539,-15.2082,11.01,82,40,1.54,IS,1690879053
85,kavaratti,10.5669,72.642,28.37,74,78,8.24,IN,1690879053
86,chipata,-13.6333,32.65,25.54,24,0,4.12,ZM,1690878890
87,port shepstone,-30.7414,30.455,17.5,46,5,7.5,ZA,1690879054
88,sevenoaks,51.27,0.1928,18.12,47,20,5.14,GB,1690879054
89,souillac,-20.5167,57.5167,25.21,73,75,6.69,MU,1690879054
90,strezhevoy,60.7333,77.5889,24.06,73,93,2.47,RU,1690878891
91,seoul,37.5683,126.9778,34.66,70,40,4.12,KR,1690878869
92,atuona,-9.8,-139.0333,25.75,85,32,12.41,PF,1690879054
93,khatanga,71.9667,102.5,24.15,46,53,2.66,RU,1690879054
94,saskylakh,71.9167,114.0833,22.79,31,78,1.15,RU,1690879055
95,arlit,18.7369,7.3853,38.01,22,54,7.85,NE,1690879055
96,ahipara,-35.1667,173.1667,12.12,94,11,3.92,NZ,1690879055
97,golakganj,26.1,89.8333,35.38,62,100,4.54,IN,1690878892
98,issia,6.4922,-6.5856,23.69,90,100,2.15,CI,1690878892
99,ilulissat,69.2167,-51.1,7.01,87,100,0.0,GL,1690879055
100,chapais,49.7834,-74.8492,9.88,95,97,1.9,CA,1690879055
101,sola,-13.8833,167.55,24.66,72,31,10.55,VU,1690879056
102,wyndham,37.6985,-77.6125,20.89,78,100,0.0,US,1690878892
103,pareora,-44.4871,171.2132,8.43,42,0,11.67,NZ,1690879056
104,severo-kurilsk,50.6789,156.125,11.0,95,100,3.07,RU,1690879056
105,ko samui,9.5357,99.9357,33.95,55,20,6.17,TH,1690879056
106,narsaq,60.9167,-46.05,7.12,77,36,1.02,GL,1690879057
107,norman wells,65.282,-126.8329,13.02,67,20,1.54,CA,1690879057
108,esperance,-33.8667,121.9,17.79,56,0,4.78,AU,1690879057
109,rabo de peixe,37.8,-25.5833,25.15,40,75,0.51,PT,1690879057
110,terre haute,39.4667,-87.4139,16.09,92,0,0.0,US,1690878894
111,qaanaaq,77.484,-69.3632,2.68,89,100,0.52,GL,1690879058
112,bluff,-46.6,168.3333,6.0,83,99,14.92,NZ,1690879058
113,tuktoyaktuk,69.4541,-133.0374,7.27,99,89,3.36,CA,1690879058
114,aranos,-24.1333,19.1167,13.69,19,0,5.74,NA,1690879058
115,cabo san lucas,22.8909,-109.9124,29.78,71,1,4.14,MX,1690879058
116,copiapo,-27.3667,-70.3333,10.83,72,0,0.49,CL,1690878884
117,luanda,-8.8368,13.2343,21.0,83,100,2.57,AO,1690879059
118,mozarlandia,-14.7447,-50.5706,22.6,39,1,2.92,BR,1690879059
119,asau,46.4333,26.4,23.51,53,9,1.84,RO,1690879059
120,castro,-24.7911,-50.0119,9.54,92,61,0.98,BR,1690879059
121,karratha,-20.7377,116.8463,25.1,45,87,5.69,AU,1690878838
122,mogadishu,2.0371,45.3438,27.93,83,40,7.2,SO,1690878896
123,cidreira,-30.1811,-50.2056,15.13,92,23,4.3,BR,1690879060
124,dillon,34.4166,-79.3712,20.62,92,11,1.71,US,1690879060
125,lavrentiya,65.5833,-171.0,7.77,94,67,2.43,RU,1690879060
126,bengkulu,-3.8004,102.2655,28.43,72,66,3.31,ID,1690878953
127,ayan,56.45,138.1667,12.62,95,100,5.17,RU,1690878896
128,beringovskiy,63.05,179.3167,11.45,82,80,2.7,RU,1690879061
129,iwanai,42.9744,140.5089,24.35,86,56,0.66,JP,1690878897
130,iqaluit,63.7506,-68.5145,5.85,93,75,2.06,CA,1690879061
131,pangai,-19.8,-174.35,20.83,79,100,9.33,TO,1690879061
132,carnarvon,-24.8667,113.6333,21.3,44,36,4.76,AU,1690879061
133,traverse city,44.7631,-85.6206,16.11,94,75,0.0,US,1690879061
134,kitimat,54.0524,-128.6534,15.21,67,13,0.76,CA,1690878898
135,ulaanbaatar,47.9077,106.8832,31.07,29,40,3.0,MN,1690878875
136,kirakira,-10.4544,161.9205,24.5,90,70,4.28,SB,1690879062
137,siderno,38.2779,16.302,29.08,46,0,2.92,IT,1690878898
138,flinders,-34.5833,150.8552,15.77,63,0,1.11,AU,1690879062
139,hvide sande,56.0045,8.1294,15.61,94,75,1.54,DK,1690879062
140,college,64.8569,-147.8028,18.99,81,40,0.0,US,1690879062
141,maniitsoq,65.4167,-52.9,5.6,86,97,0.41,GL,1690878899
142,faanui,-16.4833,-151.75,26.7,76,74,6.47,PF,1690879063
143,oistins,13.0667,-59.5333,27.05,89,40,2.57,BB,1690879063
144,westport,41.1415,-73.3579,21.02,79,20,2.57,US,1690878900
145,hualmay,-11.0964,-77.6139,18.38,85,45,2.91,PE,1690879063
146,brindisi,40.5833,17.6667,32.47,38,0,1.97,IT,1690879064
147,tromso,69.6496,18.957,19.01,55,0,1.54,NO,1690878901
148,nishihara,26.1842,127.7558,28.03,95,100,25.72,JP,1690879064
149,dingle,10.9995,122.6711,27.89,83,69,6.09,PH,1690879064
150,kupang,-10.1667,123.5833,30.32,48,20,7.2,ID,1690879064
151,yumen,40.2833,97.2,32.02,14,0,8.92,CN,1690879064
152,codrington,-38.2667,141.9667,12.11,63,100,2.46,AU,1690879065
153,asheboro,35.7079,-79.8136,20.69,97,40,0.0,US,1690879065
154,nouadhibou,20.931,-17.0347,20.99,94,75,3.6,MR,1690879065
155,tiznit,29.5833,-9.5,32.94,23,4,2.0,MA,1690879065
156,zhireken,52.8249,117.3076,32.13,23,66,3.86,RU,1690879066
157,hasaki,35.7333,140.8333,26.28,85,100,6.48,JP,1690878919
158,narok,-1.0783,35.8601,24.66,38,30,3.99,KE,1690878903
159,fresnillo,23.1667,-102.8833,18.75,77,72,0.8,MX,1690879066
160,morant bay,17.8815,-76.4093,27.79,86,100,3.48,JM,1690879066
161,atar,20.5169,-13.0499,31.6,35,21,6.16,MR,1690878904
162,vestmanna,62.1564,-7.1664,11.51,87,100,3.6,FO,1690879066
163,praxedis guerrero,31.3667,-106.0167,25.91,45,40,2.96,MX,1690879067
164,atasu,48.6814,71.6433,33.85,17,57,1.94,KZ,1690879067
165,marataizes,-21.0433,-40.8244,19.0,87,87,1.66,BR,1690879067
166,kostomuksha,64.571,30.5767,21.25,57,14,2.35,RU,1690879067
167,vikhorevka,56.1201,101.1636,27.77,44,100,1.49,RU,1690879067
168,sivas,39.7916,37.0019,26.35,29,0,1.03,TR,1690879067
169,nanortalik,60.1432,-45.2371,4.85,92,91,3.06,GL,1690879067
170,gamba,-2.65,10.0,23.43,74,92,3.52,GA,1690878906
171,torbay,47.6666,-52.7314,15.42,96,75,2.57,CA,1690879068
172,uray,60.1247,64.7758,21.23,76,100,3.69,RU,1690878906
173,dikson,73.5069,80.5464,3.82,97,94,2.68,RU,1690879068
174,punta arenas,-53.15,-70.9167,0.79,95,100,3.0,CL,1690879068
175,klaksvik,62.2266,-6.589,12.51,92,100,5.45,FO,1690879068
176,avarua,-21.2078,-159.775,22.03,94,75,2.57,CK,1690879068
177,matagami,49.7502,-77.6328,8.06,93,40,3.09,CA,1690879069
178,nichinan,31.6,131.3667,25.82,89,57,5.39,JP,1690879069
179,hilo,19.7297,-155.09,24.58,89,75,1.54,US,1690879069
180,kerema,-7.9631,145.7785,25.45,89,94,6.0,PG,1690879069
181,namibe,-15.1961,12.1522,22.74,51,71,2.41,AO,1690879069
182,saint-philippe,-21.3585,55.7679,24.77,75,15,4.86,RE,1690879070
183,syamzha,60.0158,41.0614,23.76,48,7,2.65,RU,1690879070
184,la asuncion,11.0333,-63.8628,26.46,87,3,5.05,VE,1690879070
185,quelimane,-17.8786,36.8883,22.97,88,40,1.03,MZ,1690879070
186,honiara,-9.4333,159.95,24.9,89,99,2.85,SB,1690879070
187,harlingen,26.1906,-97.6961,28.85,96,0,2.57,US,1690879070
188,tateyama,34.9833,139.8667,27.65,84,86,6.06,JP,1690879071
189,evensk,61.95,159.2333,15.11,63,100,4.56,RU,1690879071
190,longyearbyen,78.2186,15.6401,9.91,62,75,1.03,SJ,1690879071
191,kavieng,-2.5744,150.7967,27.72,80,72,4.46,PG,1690879071
192,itoman,26.1247,127.6694,28.43,92,75,21.09,JP,1690878871
193,baykit,61.67,96.37,27.33,33,75,5.32,RU,1690878911
194,turan,16.0678,108.2208,31.99,62,75,1.03,VN,1690879049
195,bushehr,28.9684,50.8385,39.05,47,0,4.12,IR,1690879072
196,whitehorse,60.7161,-135.0538,15.43,85,75,1.54,CA,1690879072
